USER_ID,MONTH,THANK_YOU_STATUS,LTR,BOOKINGS,GMV
37425,2018-04-01,thank_you_call,43.757164,3,1340.518
37515,2019-02-01,no_call,70.851,3,1061.378
37516,2017-06-01,no_call,164.634052,5,5068.21
37533,2018-02-01,no_call,158.753364,7,2796.109
37630,2018-11-01,no_call,368.291,6,19667.453
37687,2018-03-01,thank_you_call,51.425,2,2966.789
37688,2019-03-01,no_call,58.047,2,869.465
37820,2018-07-01,thank_you_call,189.783242,4,2626.755
37954,2017-12-01,thank_you_call,380.43137,5,5238.907
37989,2018-07-01,no_call,97.911,2,1466.947
38019,2018-03-01,thank_you_call,53.659716,8,8764.86
38167,2018-09-01,thank_you_call,5.775,2,1210.434
38195,2019-02-01,no_call,67.353,2,1008.984
38454,2018-05-01,no_call,119.108,2,1784.524
38784,2018-01-01,no_call,36.872,1,552.466
38846,2018-08-01,thank_you_call,35.274822,3,1485.052
38867,2019-02-01,no_call,36.729,1,550.239
38972,2018-12-01,no_call,54.153,1,808.078
39034,2018-01-01,thank_you_call,314.793985,5,4181.133
39117,2018-01-01,no_call,1687.96844,39,29991.978
39418,2017-12-01,no_call,42.812,1,641.444
39619,2018-02-01,no_call,229.119,3,3432.963
39733,2018-11-01,no_call,7.392,1,823.837
39749,2018-03-01,thank_you_call,66.396,2,949.144
39759,2018-03-01,no_call,95.403,4,1743.962
39860,2019-03-01,no_call,93.522,3,1343.697
39956,2018-04-01,no_call,28.025173,4,1024.335
40065,2018-11-01,no_call,201.039828,9,3048.576
40089,2018-05-01,no_call,54.527,1,816.969
40227,2018-02-01,thank_you_call,,,
40230,2018-09-01,no_call,1010.49801,11,12243.077
40455,2018-05-01,no_call,80.226828,4,2481.66
40551,2018-01-01,thank_you_call,,,
40660,2018-01-01,thank_you_call,1.294436,1,588.081
40743,2018-07-01,thank_you_call,43.571,1,652.868
40842,2019-02-01,thank_you_call,415.251672,20,9358.772
41120,2018-12-01,no_call,86.9,2,1198.177
41163,2019-03-01,thank_you_call,409.257838,7,10749.814
41285,2017-11-01,no_call,194.331225,4,3431.994
41328,2018-05-01,thank_you_call,51.117,2,765.748
41383,2018-02-01,thank_you_call,283.050768,12,12660.104
41805,2018-04-01,thank_you_call,210.485,5,2578.39
41999,2018-04-01,no_call,209.00638,7,9482.719
42193,2017-12-01,no_call,35.486,3,1726.214
42257,2018-07-01,thank_you_call,30.399138,1,745.722
42315,2018-04-01,thank_you_call,,,
42335,2018-08-01,no_call,555.985584,14,9975.974
42533,2017-06-01,thank_you_call,34.265,1,513.179
42689,2018-03-01,no_call,131.537362,8,4308.565
42710,2018-01-01,no_call,24.953533,1,886.414
42758,2017-08-01,no_call,63.03,1,731.068
42808,2018-06-01,no_call,58.476,2,876.18
42830,2018-08-01,no_call,45.647855,5,3730.191
42876,2019-01-01,no_call,45.78255,2,992.613
43003,2018-04-01,thank_you_call,69.894,5,3035.843
43063,2018-02-01,thank_you_call,277.089164,4,8839.558
43211,2018-08-01,no_call,10.12,4,2096.814
43228,2018-04-01,no_call,47.534993,2,949.637
43455,2017-12-01,thank_you_call,26.626677,2,1181.449
43540,2018-05-01,no_call,45.72843,3,2005.116
43595,2019-04-01,thank_you_call,95.436,2,969.459
43731,2018-01-01,no_call,1113.059,16,14362.195
